id,label
10472,BLACK PANTHER/T'CHAL
10476,IRON MAN/TONY STARK
10477,IRON MAN IV/JAMES R.
10499,MYSTIQUE/RAVEN DARKH
10500,BLOB/FRED J. DUKES
10504,ROGUE /
10521,SUB-MARINER/NAMOR MA
10525,NOVA/RICHARD RIDER
10526,FIRESTAR/ANGELICA JO
10528,NAMORITA/NITA PRENTI
10529,SPEEDBALL/ROBBIE BAL
10530,HULK/DR. ROBERT BRUC
10532,SPIDER-MAN/PETER PAR
10533,JUSTICE II/VANCE AST
10534,TIGRA/GREER NELSON
10535,WASP/JANET VAN DYNE
10536,GALACTUS/GALAN
10537,MOCKINGBIRD/DR. BARB
10538,SILVER SURFER/NORRIN
10539,HAWK
10541,SCARLET WITCH/WANDA
10542,QUICKSILVER/PIETRO M
10543,WASP/JANET VAN DYNE
10547,HAWK
10549,SCARLET WITCH/WANDA
10550,UATU
10551,CAPTAIN AMERICA
10552,THUNDERSTRIKE/ERIC K
10553,WONDER MAN/SIMON WIL
10556,WOLVERINE/LOGAN
10557,SHE-HULK/JENNIFER WA
10558,VISION
10559,PSYLOCKE/ELISABETH B
10560,MARVEL GIRL/JEAN GRE
10561,STORM/ORORO MUNROE S
10565,MR. FANTASTIC/REED R
10566,ANGEL/WARREN KENNETH
10569,JUBILEE/JUBILATION L
10570,THING/BENJAMIN J. GR
10571,INVISIBLE WOMAN/SUE
10575,BEAST/HENRY &HANK& P
10577,CYCLOPS/SCOTT SUMMER
10578,CAPTAIN AMERICA
10581,WONDER MAN/SIMON WIL
10584,WOLVERINE/LOGAN
10585,SHE-HULK/JENNIFER WA
10586,VISION
10588,MARVEL GIRL/JEAN GRE
10589,STORM/ORORO MUNROE S
10594,MR. FANTASTIC/REED R
10595,ANGEL/WARREN KENNETH
10598,IRON MAN/TONY STARK
10601,THING/BENJAMIN J. GR
10602,INVISIBLE WOMAN/SUE
10605,HULK/DR. ROBERT BRUC
10607,BEAST/HENRY &HANK& P
10619,KARNILLA [ASGARDIAN]
10620,HEIMDALL [ASGARDIAN]
10621,ENCHANTRESS/AMORA/HE
10622,LOKI [ASGARDIAN]
10625,THOR/DR. DONALD BLAK
10628,SPIDER-WOMAN II/JULI
10632,COOPER DR. VALERIE
10638,DR. STRANGE/STEPHEN
10640,HELLCAT/PATSY WALKER
10643,NORRISS SISTER BARB
10654,GORGON [INHUMAN]
10655,LOCKJAW [INHUMAN]
10656,CRYSTAL [INHUMAN]
10657,BLACK BOLT/BLACKANTO
10658,TRITON
10659,KARNAK [INHUMAN]
10664,WARLOCK II/ADAM WARL
10673,PROFESSOR X/CHARLES
10675,CYCLOPS/SCOTT SUMMER
10679,PROFESSOR X/CHARLES
10685,PARKER MAY
10689,ROBERTSON JOE
10692,LEEDS BETTY BRANT
10693,KINGPIN/WILSON FISK
10698,WATSON-PARKER MARY
10699,WATSON ANNA
10702,JOCASTA
10704,ULTRON
10706,JAMESON J. JONAH
10708,URICH BEN
10711,ICEMAN/ROBERT BOBBY
10712,THOMPSON EUGENE FLA
10721,ICEMAN/ROBERT BOBBY
10722,GRANT GLORIA GLORY
10727,GARGOYLE II/ISAAC CH
10738,MOONDRAGON/HEATHER D
10744,HUMAN TORCH/JOHNNY S
10747,HUMAN TORCH/JOHNNY S
10749,DR. OCTOPUS/OTTO OCT
10769,HAVOK/ALEX SUMMERS
10771,DAZZLER II/ALLISON B
10773,SUMMERS MADELYNE MA
10774,COLOSSUS II/PETER RA
10775,ROGUE /
10779,COLOSSUS II/PETER RA
10789,SUMMERS NATHAN CHRI
10790,POLARIS/LORNA DANE
10800,WOLFSBANE/RAHNE SINC
10801,WARLOCK III
10802,SUNSPOT/ROBERTO DACO
10803,MAGIK/ILLYANA RASPUT
10804,MAGNETO/MAGNUS/ERIC
10805,CANNONBALL II/SAM GU
10806,MIRAGE II/DANIELLE M
10818,CAGE LUKE/CARL LUCA
10826,THOR/DR. DONALD BLAK
10827,JARVIS EDWIN
10829,ANT-MAN/DR. HENRY J.
10838,HERCULES [GREEK GOD]
10839,BLACK WIDOW/NATASHA
10840,ANT-MAN/DR. HENRY J.
10843,HERCULES [GREEK GOD]
10844,BLACK WIDOW/NATASHA
10846,DRAX/ARTHUR DOUGLAS
10873,SPIDER-MAN/PETER PAR
10901,SANDMAN/WILLIAM BAKE
10906,VOLSTAGG
10907,HOGUN [ASGARDIAN]
10908,FANDRAL [ASGARDIAN]
10909,VIZIER
10910,ODIN [ASGARDIAN]
10921,OSBORN HARRY
10923,STACY GWEN
10924,GREEN GOBLIN/NORMAN
10936,OSBORN LIZ ALLAN
10940,RICHARDS FRANKLIN B
10953,DAREDEVIL/MATT MURDO
10963,MASTERS ALICIA REIS
10983,DR. DRUID/ANTHONY LU
10994,DR. DOOM/VICTOR VON
10996,DR. DOOM/VICTOR VON
11008,THANOS
11088,BANSHEE/SEAN CASSIDY
11108,SUB-MARINER/NAMOR MA
11140,STARFOX/EROS
11149,SIF
11155,KINCAID DR. JANE FO
11165,FURY COL. NICHOLAS
11216,ANT-MAN II/SCOTT HAR
11247,FURY COL. NICHOLAS
11263,NIGHTCRAWLER/KURT WA
11269,GAMBIT/REMY LEBEAU
11271,FORGE
11279,BISHOP /
11289,QUASAR III/WENDELL V
11364,CAPTAIN MARVEL II/MO
11366,QUICKSILVER/PIETRO M
11374,CAPTAIN BRITAIN/BRIA
11375,USAGENT/CAPTAIN JOHN
11376,MEGGAN
11379,PHOENIX III/RACHEL S
11390,NIGHTCRAWLER/KURT WA
11422,JONES RICHARD MILHO
11434,LEEDS NED
11439,DAREDEVIL/MATT MURDO
11469,SHADOWCAT/KATHERINE
11476,LOCKHEED
11503,CRYSTAL [INHUMAN]
11508,BINARY/CAROL DANVERS
11520,CAPTAIN MARVEL/CAPTA
11557,BLACK KNIGHT V/DANE
11559,APOCALYPSE/EN SABAH
11564,PHARAOH RAMA-TUT
11567,BALDER [ASGARDIAN]
11674,FALCON/SAM WILSON
11748,SHAMAN/MICHAEL TWOYO
11814,STRONG GUY/GUIDO CAR
11815,HUDSON HEATHER
11816,SASQUATCH/WALTER LAN
11817,HARKNESS AGATHA
11838,MACTAGGERT MOIRA KI
11872,MARROW/SARAH
11922,MULTIPLE MAN/JAMES A
11972,LIVING LIGHTNING/MIG
11976,RAGE/ELVIN DARYL HAL
11979,SERSI/SYLVIA
11995,MAXIMUS [INHUMAN]
11996,MEDUSA/MEDUSALITH AM
12034,FIREFIST/RUSTY COLLI
12042,SKIDS/SALLY BLEVINS
12135,CALIBAN/
12136,MAGMA/AMARA AQUILLA/
12330,LILANDRA NERAMANI [S
12384,THUNDERBIRD II/JAMES
12588,WHITE QUEEN/EMMA FRO
12644,FRIGGA
12744,CYPHER/DOUG RAMSEY
12745,BOOMER/TABITHA SMITH
12746,RICTOR/JULIO ESTEBAN
12748,SIRYN/THERESA ROURKE
12891,KARMA/XI'AN COY MANH
13893,CORSAIR
14614,CH'OD
14825,MADDICKS ARTHUR ART
15394,LEECH
15648,MAM'SELLE HEPZIBAH
15649,RAZA LONGKNIFE